course_difficulty,course_type,age_group,past_course_history,weekly_login_frequency,avg_time_per_session_minutes,device_used,course_length_hours,has_certification,completion
medium,reading,18-25,11,7,17.867607759560933,mobile,15,N,Y
easy,video,26-35,14,4,52.70602596479527,mobile,5,N,Y
medium,video,46-60,5,2,35.597913800994085,mobile,15,N,Y
medium,coding,18-25,13,2,36.868741296352226,mobile,20,Y,Y
easy,video,18-25,9,6,40.60079482718913,mobile,20,N,Y
medium,video,46-60,19,2,39.25243460111766,mobile,8,N,N
hard,coding,26-35,3,1,25.042680566439422,desktop,8,N,Y
medium,reading,26-35,3,4,33.27063147565761,mobile,5,N,Y
medium,video,26-35,9,7,26.771634188872078,mobile,3,Y,Y
hard,reading,26-35,10,1,35.26156349731992,mobile,8,N,Y
hard,video,26-35,14,2,34.10029063149797,desktop,20,N,Y
hard,reading,26-35,8,3,25.408076869629575,desktop,8,N,Y
hard,combined,60+,19,1,14.04841532493841,mobile,8,N,N
hard,video,36-45,9,5,31.754844683586093,mobile,15,N,N
medium,coding,18-25,2,2,27.548766146312413,mobile,5,Y,Y
easy,coding,18-25,2,1,7.315533027494901,mobile,5,N,N
easy,combined,36-45,20,2,36.09194122666461,desktop,30,N,Y
easy,video,18-25,2,7,41.584105346913304,desktop,3,Y,Y
easy,video,46-60,19,7,60.34027770250741,mobile,8,N,Y
medium,combined,26-35,5,4,25.305629960152068,mobile,10,N,Y
medium,combined,26-35,1,3,23.535457241411187,mobile,5,N,N
medium,combined,18-25,6,6,16.686947634729105,desktop,5,N,Y
hard,video,36-45,12,1,32.503702877844084,desktop,5,Y,N
easy,coding,26-35,8,5,32.42781816670026,mobile,8,Y,Y
easy,video,26-35,16,5,20.26444398255901,mobile,20,N,Y
medium,reading,26-35,12,5,27.90084141595392,mobile,8,N,N
easy,reading,46-60,8,1,6.256011997327718,mobile,8,N,Y
medium,combined,26-35,13,5,41.11652097399896,desktop,8,N,Y
medium,coding,26-35,20,4,20.751848883934,mobile,30,N,N
easy,combined,18-25,8,7,29.584123783044248,mobile,3,Y,Y
medium,combined,36-45,3,1,12.87967894442665,mobile,20,N,N
hard,combined,18-25,8,4,23.01175680646112,mobile,8,N,N
hard,combined,18-25,17,6,26.644906157789674,mobile,30,Y,Y
hard,combined,26-35,4,2,29.864509836470038,desktop,8,Y,Y
easy,video,36-45,19,5,35.75679018627014,mobile,3,Y,Y
easy,reading,36-45,12,0,47.26890100183464,desktop,10,N,N
medium,video,36-45,12,5,38.792531313232274,mobile,5,N,Y
easy,video,36-45,6,4,41.54597451775494,desktop,20,N,Y
hard,video,18-25,19,1,47.353249319317655,mobile,15,N,Y
hard,video,26-35,0,0,36.83649457827237,mobile,15,N,N
easy,video,18-25,6,5,29.559513652572058,mobile,5,Y,Y
easy,video,18-25,8,1,42.10934287506066,mobile,15,Y,Y
easy,video,18-25,10,3,42.87611143153988,mobile,8,N,N
hard,video,18-25,9,0,37.78279005559242,mobile,40,N,N
hard,video,36-45,3,7,12.544468835566764,desktop,15,N,Y
hard,combined,26-35,4,4,19.90247816286423,desktop,10,N,N
medium,video,18-25,2,7,26.701750751634194,mobile,20,N,N
medium,combined,18-25,12,1,39.35545224883079,mobile,10,N,N
hard,video,18-25,7,1,29.743842971153285,desktop,10,N,Y
hard,video,26-35,11,4,43.64242360140676,mobile,5,N,Y
medium,reading,26-35,12,4,45.78283954493138,mobile,15,Y,Y
medium,video,26-35,14,6,44.39004562412647,desktop,8,N,Y
easy,combined,36-45,11,7,44.46648677376344,mobile,1,N,Y
easy,video,26-35,13,6,17.556073144095382,mobile,20,N,Y
easy,video,46-60,12,1,35.79162599346931,mobile,3,Y,Y
medium,video,26-35,13,2,22.709651508535003,mobile,15,N,N
hard,coding,18-25,12,7,10.211204023689618,desktop,5,N,N
easy,video,36-45,6,4,26.550346415329965,mobile,8,N,Y
easy,reading,36-45,5,6,45.896843587527016,mobile,20,N,Y
hard,video,18-25,16,4,35.52890412142156,desktop,3,N,Y
medium,coding,46-60,7,0,54.2137124592707,mobile,15,N,Y
medium,coding,26-35,11,3,32.12676174321734,mobile,15,Y,N
easy,coding,26-35,4,6,59.37363304311489,mobile,20,N,Y
medium,coding,26-35,9,5,32.13025470620462,desktop,5,Y,Y
easy,reading,18-25,11,1,30.269763553844836,desktop,20,N,Y
medium,video,46-60,13,1,14.647318944942043,desktop,10,Y,Y
medium,reading,46-60,11,6,43.326752883513215,mobile,8,N,Y
easy,video,18-25,7,7,23.974498452714254,desktop,8,Y,Y
easy,video,36-45,20,6,22.235428327095278,mobile,8,Y,Y
medium,video,18-25,10,0,45.374766765150866,desktop,10,N,Y
hard,coding,46-60,16,4,43.898672025551484,mobile,3,N,Y
easy,video,18-25,15,6,43.58461640652815,desktop,8,N,Y
hard,video,26-35,11,5,25.653706391340226,mobile,15,N,Y
medium,coding,26-35,18,4,29.38828961633698,mobile,10,Y,Y
medium,reading,36-45,2,3,29.28174722764978,mobile,5,N,Y
easy,combined,26-35,19,1,39.39021816806878,mobile,8,N,Y
medium,coding,18-25,17,2,48.64277602193076,mobile,8,N,Y
medium,video,18-25,10,5,34.41775866238088,mobile,15,N,N
medium,coding,36-45,15,0,53.6986930242883,desktop,30,N,Y
easy,coding,26-35,10,0,40.766333016396736,mobile,10,Y,Y
medium,video,18-25,5,3,27.18240727062698,mobile,15,N,Y
easy,video,18-25,16,6,39.9445368735477,mobile,3,Y,Y
hard,video,18-25,5,5,50.47128334450528,mobile,30,N,Y
easy,video,36-45,6,4,53.97946780009602,desktop,8,N,Y
hard,coding,46-60,10,4,44.242696135188964,desktop,8,N,N
medium,video,26-35,17,0,30.30809344389599,desktop,5,N,Y
hard,combined,26-35,8,2,27.399680951328953,mobile,3,N,Y
medium,reading,18-25,10,0,36.91283404273669,desktop,20,Y,N
medium,video,18-25,0,6,50.08769394325255,desktop,5,N,Y
easy,reading,36-45,2,6,35.20522946657342,desktop,5,N,Y
easy,combined,36-45,1,2,35.45438246242573,mobile,5,Y,Y
hard,combined,26-35,1,2,30.616774251805108,mobile,40,Y,N
medium,reading,26-35,18,2,26.06530724842545,mobile,20,N,N
hard,reading,26-35,17,7,28.054385920272985,desktop,30,Y,Y
easy,reading,26-35,17,3,31.62511182294636,mobile,20,N,Y
medium,coding,36-45,1,6,50.61719995487787,mobile,30,N,N
easy,video,18-25,1,3,27.12343465763038,mobile,10,N,N
easy,video,18-25,5,5,30.63134491093657,desktop,5,N,Y
medium,combined,26-35,11,4,19.615468075121896,mobile,8,N,Y
medium,reading,18-25,7,2,38.599572797677865,mobile,5,N,Y
medium,video,18-25,10,7,46.40015014461939,desktop,15,N,Y
medium,video,46-60,3,5,49.49397415148107,desktop,1,N,Y
medium,coding,36-45,15,6,32.44037429634852,mobile,3,N,Y
easy,combined,18-25,6,7,36.892251399350826,desktop,15,N,Y
easy,video,18-25,1,1,28.157396133959544,mobile,3,Y,Y
easy,video,18-25,15,0,36.33622415633427,desktop,1,Y,Y
medium,video,18-25,18,4,33.767581829990576,desktop,3,N,N
easy,coding,18-25,0,2,30.699172647017846,mobile,15,N,Y
medium,video,46-60,9,3,31.653044307325555,mobile,3,N,Y
hard,combined,18-25,17,1,35.42306740072379,mobile,3,Y,Y
medium,video,26-35,14,3,26.470170781853227,mobile,5,N,N
hard,combined,46-60,17,3,27.090038495063602,desktop,20,N,N
medium,video,26-35,8,2,50.488344164058645,mobile,5,Y,Y
medium,video,36-45,7,5,62.526561226156595,mobile,1,N,N
medium,coding,18-25,14,4,15.547596617591473,mobile,30,N,Y
medium,reading,18-25,3,3,14.886345547487295,mobile,20,Y,Y
medium,video,26-35,5,0,18.514166066302202,desktop,5,N,Y
medium,coding,46-60,12,4,28.76053901953734,desktop,5,N,N
medium,combined,26-35,14,1,40.74936613244708,desktop,5,Y,Y
hard,combined,26-35,2,2,37.09503530457926,mobile,15,N,Y
medium,coding,18-25,10,3,32.06437364136562,mobile,5,N,N
easy,combined,26-35,7,1,36.347226563494786,desktop,30,N,Y
medium,combined,18-25,10,3,21.69496612045957,desktop,20,N,Y
hard,reading,60+,20,2,27.070526738968574,mobile,10,N,N
easy,coding,26-35,1,6,29.758865419490437,desktop,1,N,Y
hard,video,46-60,20,6,10.98940393353777,mobile,20,N,N
medium,combined,26-35,9,0,16.06427754332885,desktop,15,N,Y
medium,combined,26-35,16,4,16.541207264668092,desktop,20,N,Y
medium,video,18-25,8,5,39.16929868420529,mobile,3,Y,N
easy,coding,46-60,6,3,32.944259382869,mobile,15,Y,Y
hard,combined,26-35,16,3,37.33273440088732,mobile,20,N,N
easy,coding,26-35,14,6,7.924140122370428,mobile,30,N,Y
medium,coding,36-45,3,3,12.19719976738076,mobile,10,N,Y
medium,reading,18-25,14,0,37.958585283077944,mobile,10,N,Y
hard,reading,18-25,15,2,2.0,mobile,8,N,N
medium,video,26-35,8,2,44.69555229119766,mobile,15,Y,Y
easy,reading,26-35,19,3,8.120194277726519,mobile,30,N,N
hard,video,46-60,13,1,40.12013870309974,desktop,10,N,N
medium,coding,46-60,7,1,19.336984502916447,desktop,5,N,Y
medium,combined,36-45,0,7,42.58684458205899,mobile,1,Y,Y
hard,video,26-35,14,1,68.49793096699794,desktop,15,N,N
hard,coding,18-25,4,5,2.721868438546494,mobile,20,N,Y
medium,coding,36-45,15,5,38.34452577432778,mobile,3,N,Y
hard,video,18-25,11,4,8.302047436875124,desktop,8,N,Y
medium,reading,26-35,9,7,35.12122706661005,mobile,30,N,N
medium,video,18-25,3,0,27.51873403737727,mobile,10,N,Y
easy,video,26-35,14,2,31.55738786954212,mobile,5,N,N
hard,coding,18-25,3,1,19.059764684061157,mobile,8,Y,N
medium,coding,36-45,8,4,39.366493313958,mobile,8,N,N
hard,video,36-45,17,5,12.619705944355427,mobile,3,N,N
medium,coding,26-35,19,7,44.89964715478489,mobile,15,N,N
medium,video,26-35,20,3,25.088996320677808,mobile,10,Y,Y
hard,combined,18-25,20,1,13.167711871162926,mobile,15,Y,Y
easy,reading,26-35,11,7,49.13924188008838,desktop,15,N,Y
hard,combined,18-25,4,5,29.191888166290163,desktop,1,N,Y
easy,combined,18-25,17,6,52.891631645304315,mobile,5,Y,Y
easy,coding,46-60,16,3,44.65627355176011,mobile,5,N,Y
medium,video,18-25,20,3,20.42225154256278,desktop,3,N,N
medium,video,26-35,13,3,28.980122388759014,mobile,15,N,Y
hard,video,36-45,2,5,31.45245527596289,desktop,3,Y,Y
easy,combined,26-35,10,1,48.31563839983727,desktop,15,N,Y
easy,video,26-35,9,7,35.25021256040538,desktop,5,N,Y
easy,coding,26-35,17,1,32.11551145315751,desktop,3,N,Y
easy,video,36-45,8,3,27.60144495482031,mobile,5,N,Y
medium,reading,26-35,6,2,29.39331556974433,desktop,10,N,Y
hard,reading,18-25,1,5,45.65510502813989,desktop,15,N,Y
hard,reading,46-60,17,5,30.044464209569693,mobile,20,N,N
easy,video,26-35,15,7,25.260032744421903,desktop,3,N,Y
medium,coding,18-25,0,6,23.22591401263576,mobile,15,N,Y
medium,combined,18-25,9,1,23.354818153966058,desktop,20,Y,Y
hard,coding,26-35,10,1,13.174848047486819,mobile,8,N,N
easy,video,26-35,9,7,20.99549630008225,mobile,3,N,N
easy,coding,46-60,19,3,47.98104330780387,desktop,5,N,N
easy,reading,18-25,3,0,27.52080887319004,mobile,3,N,N
medium,video,26-35,6,6,38.45294002267318,mobile,20,N,Y
medium,video,36-45,3,5,2.0,mobile,8,N,Y
medium,video,26-35,5,0,36.81973570759055,desktop,10,Y,N
medium,video,26-35,19,6,28.063767547570635,mobile,20,N,Y
hard,reading,18-25,19,4,24.222719725313894,desktop,8,N,N
hard,video,18-25,0,4,32.17151948905358,desktop,15,N,Y
medium,video,26-35,13,6,24.050096954255665,mobile,3,N,N
medium,video,18-25,4,3,4.51350096133973,desktop,10,Y,N
hard,coding,18-25,4,3,41.06697529406325,desktop,3,N,N
easy,combined,36-45,6,4,32.916210736178314,desktop,5,N,Y
easy,video,46-60,4,1,26.23269054302578,mobile,5,N,Y
hard,video,36-45,10,1,18.40577553513075,desktop,15,Y,N
easy,video,26-35,20,6,12.36170980671438,mobile,15,N,Y
medium,video,26-35,12,1,32.68671248481669,desktop,15,N,N
easy,video,36-45,15,4,49.361291522704306,desktop,3,Y,Y
easy,video,36-45,10,2,32.43799772089246,desktop,40,N,Y
medium,coding,36-45,0,1,13.406860726886087,desktop,3,Y,Y
easy,video,18-25,1,4,32.70140072446083,desktop,20,N,Y
medium,reading,18-25,5,6,29.359884453039264,mobile,15,N,Y
medium,video,26-35,5,3,40.36852351289076,mobile,10,N,Y
medium,reading,26-35,17,1,37.28079812894072,mobile,8,N,N
hard,combined,26-35,17,1,2.0,mobile,20,N,Y
medium,reading,18-25,17,1,36.542906453141484,mobile,15,Y,Y
easy,video,36-45,13,7,17.958247085950994,mobile,3,N,Y
easy,reading,18-25,11,2,12.939255102615611,desktop,20,Y,Y
easy,combined,46-60,13,2,27.738319075517236,desktop,3,Y,Y
medium,reading,46-60,8,0,34.93165330836014,mobile,10,N,Y
easy,coding,18-25,14,3,10.311184676558106,desktop,15,Y,Y
easy,coding,46-60,16,7,38.454917004690614,mobile,20,N,Y
hard,combined,26-35,16,3,39.160066170379196,desktop,10,N,N
medium,video,18-25,12,5,30.563714355593973,mobile,5,N,Y
easy,coding,36-45,1,1,19.588516437275416,mobile,10,N,Y
hard,coding,26-35,15,1,18.2474639497285,desktop,5,N,Y
medium,video,26-35,7,5,42.31118557896273,mobile,10,N,N
easy,combined,18-25,15,0,11.86532776204914,mobile,10,N,Y
easy,coding,18-25,11,3,42.77364552983014,mobile,20,N,Y
medium,coding,26-35,18,2,28.017610090434758,desktop,5,Y,N
medium,coding,18-25,7,0,28.849986004285714,mobile,5,N,Y
hard,coding,18-25,19,4,9.5029475350401,mobile,10,N,N
hard,coding,36-45,17,7,28.23940043845696,mobile,3,Y,N
easy,video,26-35,6,0,37.36302619213651,mobile,5,N,N
easy,video,26-35,10,6,13.963078945776225,mobile,8,Y,Y
hard,coding,36-45,11,4,35.98363040702215,mobile,10,Y,Y
medium,combined,26-35,16,5,31.068147044148272,mobile,5,N,N
medium,reading,18-25,14,0,22.274932634012316,mobile,10,N,Y
easy,coding,18-25,17,6,40.25607703789565,desktop,20,Y,Y
medium,video,18-25,7,0,3.5729187722573243,desktop,10,Y,Y
medium,coding,18-25,10,7,34.16016898492451,desktop,5,N,Y
medium,reading,18-25,9,5,49.4332218968795,mobile,3,N,Y
easy,video,36-45,19,2,47.27931766920794,mobile,3,N,Y
medium,video,26-35,6,0,34.67768064646227,mobile,10,N,N
easy,coding,36-45,12,4,26.379830686429848,desktop,15,Y,Y
easy,reading,26-35,2,0,22.37036932142843,mobile,1,N,N
easy,reading,36-45,17,4,26.364890473132295,mobile,5,N,Y
hard,reading,26-35,8,6,36.52568697501487,mobile,8,Y,Y
easy,coding,18-25,7,2,20.313074334487006,desktop,8,N,Y
easy,video,26-35,12,1,39.08908581660457,desktop,30,N,Y
medium,video,18-25,10,1,55.59792621603989,mobile,5,N,Y
medium,coding,60+,17,1,29.25740117847126,mobile,3,N,Y
medium,reading,18-25,11,0,13.867262360600336,mobile,8,N,N
easy,combined,26-35,10,1,13.863063044203045,mobile,3,N,Y
easy,reading,26-35,2,5,39.3187866205389,desktop,3,Y,Y
hard,coding,18-25,0,2,29.283045852474675,mobile,8,N,Y
hard,video,36-45,8,6,40.52197075276864,desktop,8,Y,Y
medium,video,26-35,20,6,23.596389010087805,mobile,3,Y,Y
easy,combined,46-60,19,6,39.96748257047798,desktop,15,Y,Y
medium,video,36-45,13,4,28.100409918603294,desktop,10,N,Y
hard,combined,18-25,13,2,21.20995133611261,desktop,3,N,Y
medium,reading,36-45,8,7,25.188018254371386,desktop,20,N,Y
easy,reading,18-25,3,1,15.635347734921162,mobile,5,N,Y
easy,video,26-35,0,3,53.87231470297934,desktop,30,N,Y
easy,video,26-35,7,3,28.843418237298156,mobile,30,N,N
easy,reading,26-35,6,5,37.734169064186354,mobile,8,N,Y
easy,video,26-35,4,4,23.557570405550408,mobile,5,N,Y
hard,combined,26-35,5,6,17.37686613624212,mobile,20,Y,N
easy,reading,26-35,0,7,27.193433868984776,mobile,8,N,Y
easy,combined,36-45,12,3,43.21431040055038,mobile,5,Y,Y
easy,combined,26-35,19,6,23.751218503220596,desktop,10,Y,Y
medium,video,26-35,14,1,19.553616327247013,mobile,10,N,N
easy,coding,26-35,9,7,31.865570932429723,mobile,20,N,Y
hard,video,26-35,8,1,35.98827120861293,mobile,15,N,Y
hard,video,26-35,6,6,49.7141780262382,desktop,20,N,N
medium,video,26-35,2,3,34.245005740469935,desktop,15,N,Y
easy,reading,18-25,12,7,37.72791214237482,desktop,15,N,N
medium,combined,36-45,11,1,38.631302843043855,desktop,10,Y,N
easy,combined,26-35,0,3,16.163815416808436,desktop,40,N,Y
easy,reading,18-25,8,7,18.44001515436547,desktop,30,N,Y
easy,video,26-35,5,0,16.993244524732198,desktop,20,N,N
medium,reading,26-35,3,2,14.014250931700253,mobile,20,N,Y
medium,reading,26-35,14,0,39.54551849844484,mobile,10,N,Y
medium,video,26-35,11,2,33.480601099965064,mobile,5,Y,Y
easy,video,18-25,13,3,30.953952757097394,mobile,20,N,N
medium,coding,26-35,14,4,2.0,desktop,1,N,N
medium,combined,36-45,20,2,54.66572230342342,desktop,5,N,Y
hard,video,46-60,16,1,19.268735950157332,mobile,8,N,Y
medium,video,46-60,13,1,54.62175307126749,desktop,10,N,N
easy,video,26-35,18,7,12.609102232184206,mobile,10,N,Y
hard,video,18-25,10,7,20.251186097321558,desktop,5,Y,Y
easy,video,36-45,20,1,3.5658074098844423,desktop,3,N,Y
medium,reading,26-35,15,1,34.34549971131237,mobile,5,N,N
medium,reading,26-35,13,0,16.784918150265213,mobile,8,N,N
easy,video,18-25,18,7,17.123998150819748,mobile,1,Y,Y
hard,video,18-25,10,5,13.529829393907232,mobile,15,N,N
medium,video,18-25,15,6,39.328260752854355,desktop,5,Y,Y
easy,coding,18-25,5,2,38.53756381881057,desktop,8,Y,Y
easy,video,46-60,20,5,51.744406692945425,mobile,8,N,Y
hard,video,36-45,13,0,21.771520547124318,mobile,10,N,N
medium,combined,26-35,16,5,32.6258324525616,desktop,20,N,N
medium,coding,26-35,9,4,14.527977631176581,mobile,3,N,Y
medium,video,18-25,18,2,25.979531727176184,desktop,8,N,N
easy,combined,26-35,1,5,23.773856240625868,mobile,15,N,Y
medium,video,46-60,2,5,35.57339948994505,mobile,1,Y,Y
hard,video,26-35,10,3,42.204261677018295,desktop,20,N,N
medium,coding,26-35,15,1,41.892800289978,desktop,30,N,Y
easy,combined,18-25,16,0,19.88625273338867,mobile,15,Y,Y
easy,video,18-25,9,7,41.981614855475996,mobile,30,Y,Y
hard,video,18-25,13,2,29.470978354706435,mobile,8,N,N
easy,combined,18-25,11,2,26.10483724923582,mobile,8,N,Y
hard,coding,18-25,20,5,21.49786215817298,mobile,3,N,N
hard,video,26-35,13,2,23.280770467661377,mobile,1,Y,N
easy,coding,26-35,8,3,50.9077661543548,desktop,5,Y,Y
medium,combined,36-45,20,5,33.68892919792828,desktop,10,Y,N
easy,reading,26-35,2,4,32.09534217001446,desktop,10,Y,Y
medium,coding,26-35,20,5,26.85303769755664,desktop,5,Y,Y
medium,reading,26-35,3,0,59.35174333725634,desktop,15,N,Y
easy,reading,26-35,6,3,45.660125866157095,mobile,5,Y,Y
easy,coding,18-25,17,3,21.34725462241449,mobile,8,N,Y
hard,video,26-35,15,5,26.716619343544508,desktop,5,N,N
medium,video,26-35,20,1,27.429065479549074,desktop,15,Y,Y
medium,combined,18-25,15,1,31.750463739391193,mobile,10,N,Y
medium,reading,18-25,13,6,21.58528808842278,mobile,15,Y,N
easy,combined,18-25,7,5,35.26579828034036,desktop,3,N,Y
medium,combined,26-35,0,6,47.42505758447177,desktop,8,N,N
easy,combined,26-35,2,2,14.236462691950042,mobile,30,N,Y
medium,coding,26-35,6,7,16.462239154895194,mobile,3,N,Y
easy,video,18-25,0,2,24.202097336432317,mobile,8,N,N
easy,video,36-45,10,5,24.758453278706043,mobile,1,N,Y
easy,combined,18-25,16,1,53.98159049695117,mobile,3,N,Y
easy,video,26-35,20,7,42.02051064017807,desktop,10,Y,Y
easy,reading,26-35,10,2,41.33186822541917,desktop,5,N,Y
easy,video,18-25,18,6,26.827611677839194,mobile,10,N,Y
easy,video,46-60,20,2,26.56423911855823,desktop,30,N,Y
easy,video,36-45,18,6,12.579535034815216,mobile,5,N,N
hard,combined,26-35,9,3,39.38088273657381,desktop,3,N,Y
hard,video,26-35,6,0,35.89265525770543,mobile,20,Y,N
medium,coding,26-35,20,1,45.4319683761394,mobile,10,N,N
easy,video,18-25,5,5,27.47004343972599,desktop,20,N,Y
medium,reading,26-35,8,1,28.298650245595237,mobile,8,N,N
easy,video,18-25,1,2,32.04054634272763,mobile,15,N,Y
easy,reading,18-25,16,4,40.70277090608515,desktop,30,Y,Y
hard,video,36-45,13,2,12.357412534830253,desktop,5,N,N
medium,combined,46-60,1,1,38.832673604860496,mobile,20,Y,Y
easy,reading,18-25,4,4,29.754053253926035,mobile,15,N,Y
easy,video,26-35,11,5,17.296352784555644,desktop,20,N,N
easy,reading,18-25,11,5,4.984730968151204,mobile,5,N,Y
medium,coding,26-35,16,7,28.362315457459758,desktop,8,N,Y
medium,combined,36-45,5,0,47.37255579928884,desktop,3,Y,N
hard,video,46-60,19,3,50.09621600089674,desktop,30,N,Y
hard,video,18-25,9,1,34.264514528041154,desktop,3,N,N
easy,reading,18-25,17,7,53.54406796610697,mobile,3,Y,Y
easy,reading,36-45,5,4,29.484707004519063,mobile,20,N,Y
medium,combined,26-35,0,0,41.439642619713375,mobile,8,N,Y
easy,reading,36-45,1,5,24.585229333122875,desktop,10,Y,Y
easy,coding,18-25,7,0,23.824813928590217,mobile,5,N,Y
medium,reading,26-35,20,2,21.869890597432367,mobile,15,Y,Y
easy,video,46-60,1,5,5.273652634508252,mobile,5,N,Y
hard,video,18-25,7,4,45.445107119362945,mobile,10,Y,Y
medium,reading,18-25,2,6,22.300410730343806,mobile,10,N,N
easy,video,18-25,19,4,20.382734642937642,mobile,8,N,Y
easy,video,18-25,14,6,15.840339820647895,desktop,5,N,Y
easy,video,46-60,16,4,27.547686761564606,mobile,3,N,Y
medium,video,46-60,14,0,51.16190772671691,desktop,15,N,N
easy,video,26-35,13,0,55.12534620987261,mobile,5,N,Y
easy,combined,18-25,16,6,10.069597490375003,desktop,5,Y,Y
medium,combined,26-35,0,0,25.746624048284612,desktop,8,N,N
medium,coding,18-25,18,3,17.58770675887562,mobile,10,N,Y
medium,coding,46-60,15,0,41.860052894538235,desktop,15,N,N
medium,video,18-25,15,2,33.43912256752712,mobile,8,N,Y
medium,video,26-35,8,4,22.36116807144198,mobile,20,N,Y
easy,reading,26-35,16,1,30.87087696709223,desktop,15,N,Y
hard,video,18-25,8,3,24.270976543107498,mobile,20,Y,N
easy,video,18-25,1,7,49.370953132498755,mobile,15,Y,Y
easy,coding,18-25,19,0,36.563514180192456,desktop,3,N,Y
medium,video,26-35,4,0,38.03788105099726,mobile,40,N,Y
easy,reading,18-25,2,2,2.0,desktop,20,N,N
easy,video,26-35,13,6,29.19853585405427,desktop,10,Y,N
medium,reading,26-35,4,3,54.99853150870841,desktop,5,N,Y
easy,reading,26-35,18,5,45.913548840440214,mobile,5,N,N
medium,coding,26-35,9,0,7.834924968956361,mobile,15,N,N
easy,video,18-25,0,5,26.238890007796872,desktop,8,Y,Y
medium,video,18-25,19,0,15.581766408975344,mobile,15,Y,Y
easy,reading,36-45,10,5,50.53321872435444,desktop,8,Y,Y
easy,video,46-60,5,1,32.9313393873109,mobile,10,N,N
hard,coding,26-35,14,6,20.78645328322277,mobile,5,N,Y
medium,coding,26-35,11,2,30.40989532248947,mobile,5,N,N
medium,reading,26-35,0,1,2.0,desktop,3,Y,Y
medium,reading,26-35,15,2,16.980464358521083,mobile,20,Y,Y
easy,combined,46-60,8,0,30.437324709915714,mobile,10,N,Y
medium,coding,26-35,14,1,40.14810442143987,mobile,30,Y,Y
medium,video,18-25,18,4,6.704230552831909,mobile,15,Y,Y
hard,coding,26-35,12,2,25.42613630757085,mobile,20,N,N
medium,video,18-25,14,2,42.11622886222586,desktop,10,N,Y
easy,video,26-35,5,6,12.582560107520735,desktop,20,Y,Y
easy,video,26-35,4,0,32.750194017410074,mobile,30,N,N
easy,video,18-25,8,3,30.79169403727204,mobile,15,N,N
medium,video,18-25,17,1,50.57256384427923,mobile,3,Y,Y
hard,video,26-35,11,3,27.238365682660348,desktop,15,N,N
easy,video,18-25,7,2,27.94079281949916,mobile,3,N,Y
medium,video,18-25,16,0,40.259517037976266,mobile,3,Y,Y
medium,video,46-60,17,0,14.083815983407865,desktop,15,N,Y
easy,reading,46-60,18,6,27.349401521389694,mobile,20,Y,N
easy,video,26-35,6,0,24.531299869913873,mobile,5,N,Y
easy,reading,46-60,14,6,28.333058247538798,desktop,3,Y,Y
easy,video,26-35,12,7,40.180877387554055,mobile,20,Y,Y
hard,video,26-35,9,3,36.649937820986075,mobile,3,Y,Y
medium,reading,36-45,8,2,21.015812297655884,mobile,1,Y,Y
medium,video,18-25,2,6,31.64039043992655,mobile,15,Y,N
medium,combined,18-25,5,7,47.885299369206294,mobile,20,Y,Y
hard,video,36-45,11,0,20.023611614432337,mobile,10,Y,Y
easy,video,18-25,18,7,31.74200136476415,desktop,10,N,Y
medium,combined,36-45,18,7,27.682071876736458,desktop,8,N,Y
easy,video,18-25,3,1,29.243939809958675,desktop,5,Y,Y
easy,video,36-45,14,0,10.432108533007192,mobile,20,Y,Y
medium,combined,18-25,1,5,46.92915425174645,mobile,20,Y,Y
medium,video,18-25,14,0,20.7077771893418,mobile,8,N,N
hard,coding,18-25,7,4,42.3128636418424,mobile,5,Y,Y
medium,coding,18-25,9,0,22.543480703429864,desktop,5,N,Y
hard,video,18-25,15,5,22.493944177250878,mobile,3,N,Y
easy,video,18-25,8,1,44.557479005585606,desktop,5,N,Y
easy,video,18-25,16,0,41.92661524173509,desktop,1,N,Y
hard,video,26-35,11,0,32.503990787567794,desktop,20,N,Y
hard,combined,46-60,20,1,39.133806597675836,desktop,5,Y,Y
medium,video,26-35,13,4,26.5373666369232,mobile,15,Y,Y
hard,reading,26-35,6,0,29.89958846737332,mobile,10,N,Y
medium,video,46-60,16,6,22.06050729043417,desktop,20,Y,Y
easy,reading,26-35,8,4,40.84877939160312,desktop,30,N,Y
easy,video,36-45,11,2,21.67904002599177,desktop,8,N,Y
medium,video,18-25,2,7,47.821876139254236,mobile,3,N,Y
medium,video,18-25,2,5,26.209989980162106,desktop,15,N,Y
easy,reading,26-35,12,5,30.24610276819601,mobile,1,N,Y
medium,coding,36-45,3,1,39.10473624785201,desktop,5,Y,Y
medium,combined,18-25,20,5,30.286373054274986,mobile,3,Y,Y
easy,video,26-35,17,4,26.425100228576277,desktop,20,N,Y
medium,video,36-45,14,7,29.639718626298343,desktop,1,N,Y
easy,video,26-35,15,3,40.72582024269101,mobile,10,Y,Y
easy,combined,26-35,12,5,22.045773334359534,mobile,8,N,Y
medium,combined,26-35,1,2,28.485155912720824,desktop,15,Y,N
medium,coding,36-45,8,0,30.123440728049705,desktop,5,N,Y
easy,coding,26-35,10,1,40.375022346331875,mobile,20,N,Y
medium,coding,26-35,19,6,28.801855513542762,desktop,15,N,Y
medium,reading,26-35,4,5,51.69958913392466,desktop,8,N,Y
medium,combined,18-25,10,2,28.12153706741886,mobile,8,N,Y
medium,combined,26-35,7,5,27.14779633913664,desktop,20,N,Y
medium,reading,26-35,2,0,27.947614540587217,mobile,20,N,Y
